username,created_at,full_text,cleaned,case_fold,token,stop,lemmatized,Sentiment_Label
ProTunaa,Wed May 15 23:43:15 +0000 2024,VLR SDGs IKN 2024 Akan Menjadi Peta Jalan Solusi Konkret SDGs Dan Gambaran Baseline Area IKN. Sandra Dewi Fuji Tempe Ketek Indomie Qodari https://t.co/djkOUCutqM,VLR SDGs IKN 2024 Akan Menjadi Peta Jalan Solusi Konkret SDGs Dan Gambaran Baseline Area IKN Sandra Dewi Fuji Tempe Ketek Indomie Qodari ,vlr sdgs ikn akan menjadi peta jalan solusi konkret sdgs dan gambaran baseline area ikn sandra dewi fuji tempe ketek indomie qodari,"['vlr', 'sdgs', 'ikn', 'akan', 'menjadi', 'peta', 'jalan', 'solusi', 'konkret', 'sdgs', 'dan', 'gambaran', 'baseline', 'area', 'ikn', 'sandra', 'dewi', 'fuji', 'tempe', 'ketek', 'indomie', 'qodari']","['vlr', 'sdgs', 'ikn', 'peta', 'jalan', 'solusi', 'konkret', 'sdgs', 'gambaran', 'baseline', 'area', 'ikn', 'sandra', 'dewi', 'fuji', 'tempe', 'ketek', 'indomie', 'qodari']","['vlr', 'sdgs', 'ikn', 'peta', 'jalan', 'solusi', 'konkret', 'sdgs', 'gambaran', 'baseline', 'area', 'ikn', 'sandra', 'dewi', 'fuji', 'tempe', 'ketek', 'indomie', 'qodari']",Neutral
talithazhafira_,Wed May 15 23:42:29 +0000 2024,Presiden terpilih Prabowo Subianto tegas nyatakan sikap akan lanjutkan pembangunan IKN #ikn #IndonesiaMaju #şükür #ZangHaiZhuan #TheChase https://t.co/Vd04pb114A,Presiden terpilih Prabowo Subianto tegas nyatakan sikap akan lanjutkan pembangunan IKN      ,presiden terpilih prabowo subianto tegas nyatakan sikap akan lanjutkan pembangunan ikn,"['presiden', 'terpilih', 'prabowo', 'subianto', 'tegas', 'nyatakan', 'sikap', 'akan', 'lanjutkan', 'pembangunan', 'ikn']","['presiden', 'terpilih', 'prabowo', 'subianto', 'nyatakan', 'sikap', 'lanjutkan', 'pembangunan', 'ikn']","['presiden', 'terpilih', 'prabowo', 'subianto', 'nyatakan', 'sikap', 'lanjutkan', 'pembangunan', 'ikn']",Neutral
PejuangBeruk,Wed May 15 23:42:05 +0000 2024,Otorita IKN Sukses Tarik Minat 8 Raksasa Teknologi Dunia Bangun Command Center Ultimate. Ten Hag Hojlund Sandra Dewi FA Cup Casemiro Amad https://t.co/ii3X4JI1JZ,Otorita IKN Sukses Tarik Minat 8 Raksasa Teknologi Dunia Bangun Command Center Ultimate Ten Hag Hojlund Sandra Dewi FA Cup Casemiro Amad ,otorita ikn sukses tarik minat raksasa teknologi dunia bangun command center ultimate ten hag hojlund sandra dewi fa cup casemiro amad,"['otorita', 'ikn', 'sukses', 'tarik', 'minat', 'raksasa', 'teknologi', 'dunia', 'bangun', 'command', 'center', 'ultimate', 'ten', 'hag', 'hojlund', 'sandra', 'dewi', 'fa', 'cup', 'casemiro', 'amad']","['otorita', 'ikn', 'sukses', 'tarik', 'minat', 'raksasa', 'teknologi', 'dunia', 'bangun', 'command', 'center', 'ultimate', 'ten', 'hag', 'hojlund', 'sandra', 'dewi', 'fa', 'cup', 'casemiro', 'amad']","['otorita', 'ikn', 'sukses', 'tarik', 'minat', 'raksasa', 'teknologi', 'dunia', 'bangun', 'command', 'center', 'ultimate', 'ten', 'hag', 'hojlund', 'sandra', 'dewi', 'fa', 'cup', 'casemiro', 'amad']",Neutral
bintangfajar33,Wed May 15 23:41:04 +0000 2024,@tanyarlfes Haha mimpi... cuma orang begok yang percaya.. makan siang gratis IKN bikin 300 fakultas kedokteran ribuan beasiswa keluar negri dan janji2 wah beliau yang lain.. uang dari mana.. pinter dikit lah.., Haha mimpi cuma orang begok yang percaya makan siang gratis IKN bikin 300 fakultas kedokteran ribuan beasiswa keluar negri dan janji2 wah beliau yang lain uang dari mana pinter dikit lah,haha mimpi cuma orang begok yang percaya makan siang gratis ikn bikin fakultas kedokteran ribuan beasiswa keluar negri dan janji wah beliau yang lain uang dari mana pinter dikit lah,"['haha', 'mimpi', 'cuma', 'orang', 'begok', 'yang', 'percaya', 'makan', 'siang', 'gratis', 'ikn', 'bikin', 'fakultas', 'kedokteran', 'ribuan', 'beasiswa', 'keluar', 'negri', 'dan', 'janji', 'wah', 'beliau', 'yang', 'lain', 'uang', 'dari', 'mana', 'pinter', 'dikit', 'lah']","['haha', 'mimpi', 'orang', 'begok', 'percaya', 'makan', 'siang', 'gratis', 'ikn', 'bikin', 'fakultas', 'kedokteran', 'ribuan', 'beasiswa', 'negri', 'janji', 'beliau', 'uang', 'pinter', 'dikit']","['haha', 'mimpi', 'orang', 'begok', 'percaya', 'makan', 'siang', 'gratis', 'ikn', 'bikin', 'fakultas', 'kedokteran', 'ribuan', 'beasiswa', 'negri', 'janji', 'beliau', 'uang', 'pinter', 'dikit']",Neutral
investekor,Wed May 15 23:39:03 +0000 2024,pajaknya buat ikn yg ga penting itu,pajaknya buat ikn yg ga penting itu,pajaknya buat ikn yg ga penting itu,"['pajaknya', 'buat', 'ikn', 'yg', 'ga', 'penting', 'itu']","['pajaknya', 'ikn', 'yg', 'ga']","['pajaknya', 'ikn', 'yg', 'ga']",Neutral
jun_pemulung,Wed May 15 23:38:33 +0000 2024,@BebySoSweet jangan di beriskorsing Mutasi ke IKN, jangan di beriskorsing Mutasi ke IKN,jangan di beriskorsing mutasi ke ikn,"['jangan', 'di', 'beriskorsing', 'mutasi', 'ke', 'ikn']","['beriskorsing', 'mutasi', 'ikn']","['beriskorsing', 'mutasi', 'ikn']",Neutral
_Marlboro1,Wed May 15 23:32:07 +0000 2024,Dulu... Kau (IKN) adalah segalanya gak ada yang lain sampe akhirku Sekarang... Aku berubah pikiran... https://t.co/LHW3gJZpM6,Dulu Kau IKN adalah segalanya gak ada yang lain sampe akhirku Sekarang Aku berubah pikiran ,dulu kau ikn adalah segalanya gak ada yang lain sampe akhirku sekarang aku berubah pikiran,"['dulu', 'kau', 'ikn', 'adalah', 'segalanya', 'gak', 'ada', 'yang', 'lain', 'sampe', 'akhirku', 'sekarang', 'aku', 'berubah', 'pikiran']","['kau', 'ikn', 'gak', 'sampe', 'akhirku', 'berubah', 'pikiran']","['kau', 'ikn', 'gak', 'sampe', 'akhirku', 'berubah', 'pikiran']",Neutral
Tatarori80,Wed May 15 23:29:26 +0000 2024,@Anggita_lung IKN Nusantara🇮🇩, IKN Nusantara🇮🇩,ikn nusantara,"['ikn', 'nusantara']","['ikn', 'nusantara']","['ikn', 'nusantara']",Neutral
TheDisneyJr,Wed May 15 23:25:45 +0000 2024,@IamPrasPrasetja Mending uangnya utk bikin rumah mentri di ikn pak ️, Mending uangnya utk bikin rumah mentri di ikn pak ️,mending uangnya utk bikin rumah mentri di ikn pak,"['mending', 'uangnya', 'utk', 'bikin', 'rumah', 'mentri', 'di', 'ikn', 'pak']","['mending', 'uangnya', 'utk', 'bikin', 'rumah', 'mentri', 'ikn']","['mend', 'uangnya', 'utk', 'bikin', 'rumah', 'mentri', 'ikn']",Neutral
emilyukus,Wed May 15 23:22:30 +0000 2024,@MichelAdam7__ Krn pemimpin &amp; kacung²ny pd bodo &amp; miskin. Pemimpin dgn ijqsah palsu &amp; blm tentu lulus SMA apa bs berpikir tuk memakmurkan rakyatny? Yg ad d otakny cm bs hdp makmur tuk kel nya. Negara ini bs² dia gadaikan atw d jual. Mulai keliatan khan d IKN dikuasai oleh org² tiongkok., Krn pemimpin amp kacung²ny pd bodo amp miskin Pemimpin dgn ijqsah palsu amp blm tentu lulus SMA apa bs berpikir tuk memakmurkan rakyatny Yg ad d otakny cm bs hdp makmur tuk kel nya Negara ini bs² dia gadaikan atw d jual Mulai keliatan khan d IKN dikuasai oleh org² tiongkok,krn pemimpin amp kacung ny pd bodo amp miskin pemimpin dgn ijqsah palsu amp blm tentu lulus sma apa bs berpikir tuk memakmurkan rakyatny yg ad d otakny cm bs hdp makmur tuk kel nya negara ini bs dia gadaikan atw d jual mulai keliatan khan d ikn dikuasai oleh org tiongkok,"['krn', 'pemimpin', 'amp', 'kacung', 'ny', 'pd', 'bodo', 'amp', 'miskin', 'pemimpin', 'dgn', 'ijqsah', 'palsu', 'amp', 'blm', 'tentu', 'lulus', 'sma', 'apa', 'bs', 'berpikir', 'tuk', 'memakmurkan', 'rakyatny', 'yg', 'ad', 'd', 'otakny', 'cm', 'bs', 'hdp', 'makmur', 'tuk', 'kel', 'nya', 'negara', 'ini', 'bs', 'dia', 'gadaikan', 'atw', 'd', 'jual', 'mulai', 'keliatan', 'khan', 'd', 'ikn', 'dikuasai', 'oleh', 'org', 'tiongkok']","['krn', 'pemimpin', 'amp', 'kacung', 'ny', 'pd', 'bodo', 'amp', 'miskin', 'pemimpin', 'dgn', 'ijqsah', 'palsu', 'amp', 'blm', 'lulus', 'sma', 'bs', 'berpikir', 'tuk', 'memakmurkan', 'rakyatny', 'yg', 'ad', 'd', 'otakny', 'cm', 'bs', 'hdp', 'makmur', 'tuk', 'kel', 'nya', 'negara', 'bs', 'gadaikan', 'atw', 'd', 'jual', 'keliatan', 'khan', 'd', 'ikn', 'dikuasai', 'org', 'tiongkok']","['krn', 'pemimpin', 'amp', 'kacung', 'ny', 'pd', 'bodo', 'amp', 'miskin', 'pemimpin', 'dgn', 'ijqsah', 'palsu', 'amp', 'blm', 'lulu', 'sma', 'b', 'berpikir', 'tuk', 'memakmurkan', 'rakyatny', 'yg', 'ad', 'd', 'otakny', 'cm', 'b', 'hdp', 'makmur', 'tuk', 'kel', 'nya', 'negara', 'b', 'gadaikan', 'atw', 'd', 'jual', 'keliatan', 'khan', 'd', 'ikn', 'dikuasai', 'org', 'tiongkok']",Neutral
arinadotid,Wed May 15 23:20:35 +0000 2024,Kemenag Sediakan 1.378 Formasi CPNS 2024 Khusus Penempatan di IKN https://t.co/CeJs7E1I2k,Kemenag Sediakan 1378 Formasi CPNS 2024 Khusus Penempatan di IKN ,kemenag sediakan formasi cpns khusus penempatan di ikn,"['kemenag', 'sediakan', 'formasi', 'cpns', 'khusus', 'penempatan', 'di', 'ikn']","['kemenag', 'sediakan', 'formasi', 'cpns', 'khusus', 'penempatan', 'ikn']","['kemenag', 'sediakan', 'formasi', 'cpns', 'khusus', 'penempatan', 'ikn']",Neutral
eddybpn,Wed May 15 23:16:25 +0000 2024,Kalimantan Timur Sepakati Konsep Aglomerasi Transportasi di Daerah Penyangga IKN https://t.co/TCvBxp8xZb lewat @penasatu.com,Kalimantan Timur Sepakati Konsep Aglomerasi Transportasi di Daerah Penyangga IKN  lewat com,kalimantan timur sepakati konsep aglomerasi transportasi di daerah penyangga ikn lewat com,"['kalimantan', 'timur', 'sepakati', 'konsep', 'aglomerasi', 'transportasi', 'di', 'daerah', 'penyangga', 'ikn', 'lewat', 'com']","['kalimantan', 'timur', 'sepakati', 'konsep', 'aglomerasi', 'transportasi', 'daerah', 'penyangga', 'ikn', 'com']","['kalimantan', 'timur', 'sepakati', 'konsep', 'aglomerasi', 'transportasi', 'daerah', 'penyangga', 'ikn', 'com']",Neutral
JeblukAkun,Wed May 15 23:16:01 +0000 2024,@RagilSemar Klo skrg visi misinya bikin ikn buat kepentingan rrc...., Klo skrg visi misinya bikin ikn buat kepentingan rrc,klo skrg visi misinya bikin ikn buat kepentingan rrc,"['klo', 'skrg', 'visi', 'misinya', 'bikin', 'ikn', 'buat', 'kepentingan', 'rrc']","['klo', 'skrg', 'visi', 'misinya', 'bikin', 'ikn', 'kepentingan', 'rrc']","['klo', 'skrg', 'visi', 'misinya', 'bikin', 'ikn', 'kepentingan', 'rrc']",Neutral
alexisannramos,Wed May 15 23:11:33 +0000 2024,Presiden Terpilih Prabowo Subianto Tegas nyatakan sikap akan lanjutkan pembangunan IKN. https://t.co/HlDQ9hZdJs,Presiden Terpilih Prabowo Subianto Tegas nyatakan sikap akan lanjutkan pembangunan IKN ,presiden terpilih prabowo subianto tegas nyatakan sikap akan lanjutkan pembangunan ikn,"['presiden', 'terpilih', 'prabowo', 'subianto', 'tegas', 'nyatakan', 'sikap', 'akan', 'lanjutkan', 'pembangunan', 'ikn']","['presiden', 'terpilih', 'prabowo', 'subianto', 'nyatakan', 'sikap', 'lanjutkan', 'pembangunan', 'ikn']","['presiden', 'terpilih', 'prabowo', 'subianto', 'nyatakan', 'sikap', 'lanjutkan', 'pembangunan', 'ikn']",Neutral
ZeerBad,Wed May 15 23:11:19 +0000 2024,Awalnya tuh aku mengeluh tentang transportasi umum daerahku yang gak well banget. Daripada bikin ikn yang terlalu imajinatif dan eksklusif buat kaum tertentu kenapa gak lebih memajukan kota2 kecil biar lebih enak mobilitasnya. Umr naik transum memadai gitulah paling gak ,Awalnya tuh aku mengeluh tentang transportasi umum daerahku yang gak well banget Daripada bikin ikn yang terlalu imajinatif dan eksklusif buat kaum tertentu kenapa gak lebih memajukan kota2 kecil biar lebih enak mobilitasnya Umr naik transum memadai gitulah paling gak ,awalnya tuh aku mengeluh tentang transportasi umum daerahku yang gak well banget daripada bikin ikn yang terlalu imajinatif dan eksklusif buat kaum tertentu kenapa gak lebih memajukan kota kecil biar lebih enak mobilitasnya umr naik transum memadai gitulah paling gak,"['awalnya', 'tuh', 'aku', 'mengeluh', 'tentang', 'transportasi', 'umum', 'daerahku', 'yang', 'gak', 'well', 'banget', 'daripada', 'bikin', 'ikn', 'yang', 'terlalu', 'imajinatif', 'dan', 'eksklusif', 'buat', 'kaum', 'tertentu', 'kenapa', 'gak', 'lebih', 'memajukan', 'kota', 'kecil', 'biar', 'lebih', 'enak', 'mobilitasnya', 'umr', 'naik', 'transum', 'memadai', 'gitulah', 'paling', 'gak']","['tuh', 'mengeluh', 'transportasi', 'daerahku', 'gak', 'well', 'banget', 'bikin', 'ikn', 'imajinatif', 'eksklusif', 'kaum', 'gak', 'memajukan', 'kota', 'biar', 'enak', 'mobilitasnya', 'umr', 'transum', 'memadai', 'gitulah', 'gak']","['tuh', 'mengeluh', 'transportasi', 'daerahku', 'gak', 'well', 'banget', 'bikin', 'ikn', 'imajinatif', 'eksklusif', 'kaum', 'gak', 'memajukan', 'kota', 'biar', 'enak', 'mobilitasnya', 'umr', 'transum', 'memadai', 'gitulah', 'gak']",Neutral
adiyustiawan,Wed May 15 23:09:58 +0000 2024,@DrEvaChaniago Pmrinth sprtiny Tau apbn bakal jebol nanggung ikn Dan maksi gratis. Makanya pengeluaran utk selainnya dibebankan sendiri k rakyat, Pmrinth sprtiny Tau apbn bakal jebol nanggung ikn Dan maksi gratis Makanya pengeluaran utk selainnya dibebankan sendiri k rakyat,pmrinth sprtiny tau apbn bakal jebol nanggung ikn dan maksi gratis makanya pengeluaran utk selainnya dibebankan sendiri k rakyat,"['pmrinth', 'sprtiny', 'tau', 'apbn', 'bakal', 'jebol', 'nanggung', 'ikn', 'dan', 'maksi', 'gratis', 'makanya', 'pengeluaran', 'utk', 'selainnya', 'dibebankan', 'sendiri', 'k', 'rakyat']","['pmrinth', 'sprtiny', 'tau', 'apbn', 'jebol', 'nanggung', 'ikn', 'maksi', 'gratis', 'pengeluaran', 'utk', 'selainnya', 'dibebankan', 'k', 'rakyat']","['pmrinth', 'sprtiny', 'tau', 'apbn', 'jebol', 'nanggung', 'ikn', 'maksi', 'gratis', 'pengeluaran', 'utk', 'selainnya', 'dibebankan', 'k', 'rakyat']",Neutral
Anggita_lung,Wed May 15 23:07:09 +0000 2024,Pemerintah berencana mengatur kependudukan di IKN usai pemindahan ibu kota negara dari DKI Jakarta. Hal ini diwujudkan melalui kerja sama antara Otorita IKN bersama Badan Kependudukan dan Keluarga Berencana Nasional (BKKBN).,Pemerintah berencana mengatur kependudukan di IKN usai pemindahan ibu kota negara dari DKI Jakarta Hal ini diwujudkan melalui kerja sama antara Otorita IKN bersama Badan Kependudukan dan Keluarga Berencana Nasional BKKBN,pemerintah berencana mengatur kependudukan di ikn usai pemindahan ibu kota negara dari dki jakarta hal ini diwujudkan melalui kerja sama antara otorita ikn bersama badan kependudukan dan keluarga berencana nasional bkkbn,"['pemerintah', 'berencana', 'mengatur', 'kependudukan', 'di', 'ikn', 'usai', 'pemindahan', 'ibu', 'kota', 'negara', 'dari', 'dki', 'jakarta', 'hal', 'ini', 'diwujudkan', 'melalui', 'kerja', 'sama', 'antara', 'otorita', 'ikn', 'bersama', 'badan', 'kependudukan', 'dan', 'keluarga', 'berencana', 'nasional', 'bkkbn']","['pemerintah', 'berencana', 'mengatur', 'kependudukan', 'ikn', 'pemindahan', 'kota', 'negara', 'dki', 'jakarta', 'diwujudkan', 'kerja', 'otorita', 'ikn', 'badan', 'kependudukan', 'keluarga', 'berencana', 'nasional', 'bkkbn']","['pemerintah', 'berencana', 'mengatur', 'kependudukan', 'ikn', 'pemindahan', 'kota', 'negara', 'dki', 'jakarta', 'diwujudkan', 'kerja', 'otorita', 'ikn', 'badan', 'kependudukan', 'keluarga', 'berencana', 'nasional', 'bkkbn']",Neutral
luthfifadhli55,Wed May 15 23:00:37 +0000 2024,@twtyudis Di ikn pula wkwkw, Di ikn pula wkwkw,di ikn pula wkwkw,"['di', 'ikn', 'pula', 'wkwkw']","['ikn', 'wkwkw']","['ikn', 'wkwkw']",Neutral
