username,created_at,full_text,cleaned,case_fold,token,stop,lemmatized,processed_text,Sentiment_Label
ProTunaa,Wed May 15 23:43:15 +0000 2024,VLR SDGs IKN 2024 Akan Menjadi Peta Jalan Solusi Konkret SDGs Dan Gambaran Baseline Area IKN. Sandra Dewi Fuji Tempe Ketek Indomie Qodari https://t.co/djkOUCutqM,VLR SDGs IKN 2024 Akan Menjadi Peta Jalan Solusi Konkret SDGs Dan Gambaran Baseline Area IKN Sandra Dewi Fuji Tempe Ketek Indomie Qodari ,vlr sdgs ikn akan menjadi peta jalan solusi konkret sdgs dan gambaran baseline area ikn sandra dewi fuji tempe ketek indomie qodari,"['vlr', 'sdgs', 'ikn', 'akan', 'menjadi', 'peta', 'jalan', 'solusi', 'konkret', 'sdgs', 'dan', 'gambaran', 'baseline', 'area', 'ikn', 'sandra', 'dewi', 'fuji', 'tempe', 'ketek', 'indomie', 'qodari']","['vlr', 'sdgs', 'ikn', 'peta', 'jalan', 'solusi', 'konkret', 'sdgs', 'gambaran', 'baseline', 'area', 'ikn', 'sandra', 'dewi', 'fuji', 'tempe', 'ketek', 'indomie', 'qodari']","['vlr', 'sdgs', 'ikn', 'peta', 'jalan', 'solusi', 'konkret', 'sdgs', 'gambaran', 'baseline', 'area', 'ikn', 'sandra', 'dewi', 'fuji', 'tempe', 'ketek', 'indomie', 'qodari']",vlr sdigs ikedan 2024 ssaiyaadangaadan medanssajadiai peta ssajalahdan sonlinekakakakakmusi keodanatidak punyaa uangplyat sdigs diadan gambakradan baselidaiini arepliyaa ikedan sadandira diewi fkakakakakmuji tesampai keeteke idandiomie qodiari httapis t colehdijkeokakakakakmuckakakakakmuterima kasihm,Neutral
talithazhafira_,Wed May 15 23:42:29 +0000 2024,Presiden terpilih Prabowo Subianto tegas nyatakan sikap akan lanjutkan pembangunan IKN #ikn #IndonesiaMaju #şükür #ZangHaiZhuan #TheChase https://t.co/Vd04pb114A,Presiden terpilih Prabowo Subianto tegas nyatakan sikap akan lanjutkan pembangunan IKN      ,presiden terpilih prabowo subianto tegas nyatakan sikap akan lanjutkan pembangunan ikn,"['presiden', 'terpilih', 'prabowo', 'subianto', 'tegas', 'nyatakan', 'sikap', 'akan', 'lanjutkan', 'pembangunan', 'ikn']","['presiden', 'terpilih', 'prabowo', 'subianto', 'nyatakan', 'sikap', 'lanjutkan', 'pembangunan', 'ikn']","['presiden', 'terpilih', 'prabowo', 'subianto', 'nyatakan', 'sikap', 'lanjutkan', 'pembangunan', 'ikn']",preplyasidiedan tertapailih prabowo skakakakakmubiadanto dainiiyaaenkakakakakmulangainissaiyaadangaadan sikeapa ssaiyaadangaadan lahdanjkakakakakmuntukeadan pembakdangkakakakakmssudtertawanadan ikedan ikedan idandiodaiinisiamsassajadiikekenal sebagaimu şükeür zadanbegituertahkakakakakmuaizhkakakakakmuadan thectertahkakakakakmuase httapis t colehvdi04pb114a,Neutral
PejuangBeruk,Wed May 15 23:42:05 +0000 2024,Otorita IKN Sukses Tarik Minat 8 Raksasa Teknologi Dunia Bangun Command Center Ultimate. Ten Hag Hojlund Sandra Dewi FA Cup Casemiro Amad https://t.co/ii3X4JI1JZ,Otorita IKN Sukses Tarik Minat 8 Raksasa Teknologi Dunia Bangun Command Center Ultimate Ten Hag Hojlund Sandra Dewi FA Cup Casemiro Amad ,otorita ikn sukses tarik minat raksasa teknologi dunia bangun command center ultimate ten hag hojlund sandra dewi fa cup casemiro amad,"['otorita', 'ikn', 'sukses', 'tarik', 'minat', 'raksasa', 'teknologi', 'dunia', 'bangun', 'command', 'center', 'ultimate', 'ten', 'hag', 'hojlund', 'sandra', 'dewi', 'fa', 'cup', 'casemiro', 'amad']","['otorita', 'ikn', 'sukses', 'tarik', 'minat', 'raksasa', 'teknologi', 'dunia', 'bangun', 'command', 'center', 'ultimate', 'ten', 'hag', 'hojlund', 'sandra', 'dewi', 'fa', 'cup', 'casemiro', 'amad']","['otorita', 'ikn', 'sukses', 'tarik', 'minat', 'raksasa', 'teknologi', 'dunia', 'bangun', 'command', 'center', 'ultimate', 'ten', 'hag', 'hojlund', 'sandra', 'dewi', 'fa', 'cup', 'casemiro', 'amad']",otorita ikedan maskakakakakmukeses nantiike midanat 8 rssaiyaadangasasa tekedanokakakakakmkakakakakmugi dikakakakakmssudtertawainia badangkakakakakmssudtertawan commadandi cewasepertiakakakakmukedanter kakakakakmulangantimate tedan tertahkakakakakmuag hojlkakakakakmssudtertawandi sadandira diewi fa ckakakakakmup casamiro samadia httapis t colehii3x4ji1jz,Neutral
bintangfajar33,Wed May 15 23:41:04 +0000 2024,@tanyarlfes Haha mimpi... cuma orang begok yang percaya.. makan siang gratis IKN bikin 300 fakultas kedokteran ribuan beasiswa keluar negri dan janji2 wah beliau yang lain.. uang dari mana.. pinter dikit lah.., Haha mimpi cuma orang begok yang percaya makan siang gratis IKN bikin 300 fakultas kedokteran ribuan beasiswa keluar negri dan janji2 wah beliau yang lain uang dari mana pinter dikit lah,haha mimpi cuma orang begok yang percaya makan siang gratis ikn bikin fakultas kedokteran ribuan beasiswa keluar negri dan janji wah beliau yang lain uang dari mana pinter dikit lah,"['haha', 'mimpi', 'cuma', 'orang', 'begok', 'yang', 'percaya', 'makan', 'siang', 'gratis', 'ikn', 'bikin', 'fakultas', 'kedokteran', 'ribuan', 'beasiswa', 'keluar', 'negri', 'dan', 'janji', 'wah', 'beliau', 'yang', 'lain', 'uang', 'dari', 'mana', 'pinter', 'dikit', 'lah']","['haha', 'mimpi', 'orang', 'begok', 'percaya', 'makan', 'siang', 'gratis', 'ikn', 'bikin', 'fakultas', 'kedokteran', 'ribuan', 'beasiswa', 'negri', 'janji', 'beliau', 'uang', 'pinter', 'dikit']","['haha', 'mimpi', 'orang', 'begok', 'percaya', 'makan', 'siang', 'gratis', 'ikn', 'bikin', 'fakultas', 'kedokteran', 'ribuan', 'beasiswa', 'negri', 'janji', 'beliau', 'uang', 'pinter', 'dikit']",diitadainiyaarlfes tertahkakakakakmuatertahkakakakakmua mimtapai ckakakakakmuma oradang begoke iyaadang percsaiyaadanga mssaiyaadangaadan siadang gede rasaatis ikedan bikeidan 300 fssaiyaadangdikekenal sebagaimulangantas keedisiioketeradan ribkakakakakmuadan beasiswa sepertieamkakakakakmuar daiinigede rasai diadan ssajadanji2 belidikekenal sebagaimu iyaadang lahaidan kakakakakmuadang diari madana tapaidanter diikeit lahh,Positive
investekor,Wed May 15 23:39:03 +0000 2024,pajaknya buat ikn yg ga penting itu,pajaknya buat ikn yg ga penting itu,pajaknya buat ikn yg ga penting itu,"['pajaknya', 'buat', 'ikn', 'yg', 'ga', 'penting', 'itu']","['pajaknya', 'ikn', 'yg', 'ga']","['pajaknya', 'ikn', 'yg', 'ga']",psassajassaiyaadanjkakakakakmuragadainiyaa bkakakakakmuat ikedan yaang ga pedantidang itkakakakakmu,Neutral
jun_pemulung,Wed May 15 23:38:33 +0000 2024,@BebySoSweet jangan di beriskorsing Mutasi ke IKN, jangan di beriskorsing Mutasi ke IKN,jangan di beriskorsing mutasi ke ikn,"['jangan', 'di', 'beriskorsing', 'mutasi', 'ke', 'ikn']","['beriskorsing', 'mutasi', 'ikn']","['beriskorsing', 'mutasi', 'ikn']",diisayaangyasosweet ssajadanjkakakakakmuragadan dii beriskeorsidang mkakakakakmutasi kee ikedan,Neutral
_Marlboro1,Wed May 15 23:32:07 +0000 2024,Dulu... Kau (IKN) adalah segalanya gak ada yang lain sampe akhirku Sekarang... Aku berubah pikiran... https://t.co/LHW3gJZpM6,Dulu Kau IKN adalah segalanya gak ada yang lain sampe akhirku Sekarang Aku berubah pikiran ,dulu kau ikn adalah segalanya gak ada yang lain sampe akhirku sekarang aku berubah pikiran,"['dulu', 'kau', 'ikn', 'adalah', 'segalanya', 'gak', 'ada', 'yang', 'lain', 'sampe', 'akhirku', 'sekarang', 'aku', 'berubah', 'pikiran']","['kau', 'ikn', 'gak', 'sampe', 'akhirku', 'berubah', 'pikiran']","['kau', 'ikn', 'gak', 'sampe', 'akhirku', 'berubah', 'pikiran']",dikakakakakmulanganakakakakakmu kedikekenal sebagaimu ikedan adiaalahh segalahdainiyaa gssaiyaadanga adiaa iyaadang lahaidan sasampai ssaiyaadangahairsepertiakakakakmu sekearadang ssaiyaadangdikekenal sebagaimu sayaangarkakakakakmubah tapaikeiradan httapis t colehlhw3tidake jelahszpm6,Neutral
Tatarori80,Wed May 15 23:29:26 +0000 2024,@Anggita_lung IKN Nusantara🇮🇩, IKN Nusantara🇮🇩,ikn nusantara,"['ikn', 'nusantara']","['ikn', 'nusantara']","['ikn', 'nusantara']",diiadanggita_lkakakakakmssudtertawang ikedan danakakakakakmusadanantia,Neutral
TheDisneyJr,Wed May 15 23:25:45 +0000 2024,@IamPrasPrasetja Mending uangnya utk bikin rumah mentri di ikn pak ️, Mending uangnya utk bikin rumah mentri di ikn pak ️,mending uangnya utk bikin rumah mentri di ikn pak,"['mending', 'uangnya', 'utk', 'bikin', 'rumah', 'mentri', 'di', 'ikn', 'pak']","['mending', 'uangnya', 'utk', 'bikin', 'rumah', 'mentri', 'ikn']","['mend', 'uangnya', 'utk', 'bikin', 'rumah', 'mentri', 'ikn']",diiiamprasprasepenkakakakakmulangainissaja medandiidang kakakakakmuadanbegidainiiyaa kakakakakmuntuke bikeidan barkakakakakmumah medantri dii ikedan pssaiyaadanga,Neutral
emilyukus,Wed May 15 23:22:30 +0000 2024,@MichelAdam7__ Krn pemimpin &amp; kacung²ny pd bodo &amp; miskin. Pemimpin dgn ijqsah palsu &amp; blm tentu lulus SMA apa bs berpikir tuk memakmurkan rakyatny? Yg ad d otakny cm bs hdp makmur tuk kel nya. Negara ini bs² dia gadaikan atw d jual. Mulai keliatan khan d IKN dikuasai oleh org² tiongkok., Krn pemimpin amp kacung²ny pd bodo amp miskin Pemimpin dgn ijqsah palsu amp blm tentu lulus SMA apa bs berpikir tuk memakmurkan rakyatny Yg ad d otakny cm bs hdp makmur tuk kel nya Negara ini bs² dia gadaikan atw d jual Mulai keliatan khan d IKN dikuasai oleh org² tiongkok,krn pemimpin amp kacung ny pd bodo amp miskin pemimpin dgn ijqsah palsu amp blm tentu lulus sma apa bs berpikir tuk memakmurkan rakyatny yg ad d otakny cm bs hdp makmur tuk kel nya negara ini bs dia gadaikan atw d jual mulai keliatan khan d ikn dikuasai oleh org tiongkok,"['krn', 'pemimpin', 'amp', 'kacung', 'ny', 'pd', 'bodo', 'amp', 'miskin', 'pemimpin', 'dgn', 'ijqsah', 'palsu', 'amp', 'blm', 'tentu', 'lulus', 'sma', 'apa', 'bs', 'berpikir', 'tuk', 'memakmurkan', 'rakyatny', 'yg', 'ad', 'd', 'otakny', 'cm', 'bs', 'hdp', 'makmur', 'tuk', 'kel', 'nya', 'negara', 'ini', 'bs', 'dia', 'gadaikan', 'atw', 'd', 'jual', 'mulai', 'keliatan', 'khan', 'd', 'ikn', 'dikuasai', 'oleh', 'org', 'tiongkok']","['krn', 'pemimpin', 'amp', 'kacung', 'ny', 'pd', 'bodo', 'amp', 'miskin', 'pemimpin', 'dgn', 'ijqsah', 'palsu', 'amp', 'blm', 'lulus', 'sma', 'bs', 'berpikir', 'tuk', 'memakmurkan', 'rakyatny', 'yg', 'ad', 'd', 'otakny', 'cm', 'bs', 'hdp', 'makmur', 'tuk', 'kel', 'nya', 'negara', 'bs', 'gadaikan', 'atw', 'd', 'jual', 'keliatan', 'khan', 'd', 'ikn', 'dikuasai', 'org', 'tiongkok']","['krn', 'pemimpin', 'amp', 'kacung', 'ny', 'pd', 'bodo', 'amp', 'miskin', 'pemimpin', 'dgn', 'ijqsah', 'palsu', 'amp', 'blm', 'lulu', 'sma', 'b', 'berpikir', 'tuk', 'memakmurkan', 'rakyatny', 'yg', 'ad', 'd', 'otakny', 'cm', 'b', 'hdp', 'makmur', 'tuk', 'kel', 'nya', 'negara', 'b', 'gadaikan', 'atw', 'd', 'jual', 'keliatan', 'khan', 'd', 'ikn', 'dikuasai', 'org', 'tiongkok']",diimichelahdiaam7__ kerdan pemimtapaidan amp keackakakakakmssudtertawang²danya padai bodio amp miskeidan pemimtapaidan dibegidaini ijqsah palskakakakakmu amp belim tedantkakakakakmu lkakakakakmulanganakakakakakmus apaa bertapaikeir tkakakakakmuke memssaiyaadangamkakakakakmurkeadan rssaiyaadangsaiyaadangatadianya yaang adia openkakakakakmulangainissaiyaadanjkakakakakmuragadanya cm hdip mssaiyaadangamkakakakakmur tkakakakakmuke keel dainiyaa daiinigara idaini bisa² diia gadiaaikeadan atahkakakakakmu jkakakakakmual mkakakakakmulanganahai keelihatadan ketertahkakakakakmuadan ikedan diisepertiakakakakmkuasa obonlineeh org² tiodangkeoke,Neutral
arinadotid,Wed May 15 23:20:35 +0000 2024,Kemenag Sediakan 1.378 Formasi CPNS 2024 Khusus Penempatan di IKN https://t.co/CeJs7E1I2k,Kemenag Sediakan 1378 Formasi CPNS 2024 Khusus Penempatan di IKN ,kemenag sediakan formasi cpns khusus penempatan di ikn,"['kemenag', 'sediakan', 'formasi', 'cpns', 'khusus', 'penempatan', 'di', 'ikn']","['kemenag', 'sediakan', 'formasi', 'cpns', 'khusus', 'penempatan', 'ikn']","['kemenag', 'sediakan', 'formasi', 'cpns', 'khusus', 'penempatan', 'ikn']",keemedanag sedisiiissaiyaadangaadan 1 378 formasi siapaadans 2024 kehkakakakakmuskakakakakmus pedaiinimpatadan dii ikedan httapis t colehcewasepertiakakakakmukejs7e1i2ke,Positive
